f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
52,79,569,26,52,1401,1432,192,10,300158,58527494,4106543,5,302149,58587705,4125150,172290843,6,575,45597,571,800463,1781,770763,517,1380,15,565,label-2
52,98,569,124,52,667,1432,646,60,3539754,10240245,4762325,148,3891608,10245974,4859701,116812013,6,34,3342,31,20707,1458,19087,517,1380,5,16,label-2
52,149,626,197,52,435,1432,564,14,3544399,10271907,4745492,5,3438364,10266116,4717304,116965199,6,34,5081,35,15252,3281,13424,517,1380,8,13,label-2
52,141,615,192,52,400,1432,542,23,3898751,10240792,4807950,10,3896685,11255975,4955547,116962546,6,31,4395,31,12415,2775,10795,517,1380,7,11,label-2
52,88,569,68,52,1071,1432,582,14,2590055,58523684,11799857,15,2896463,58828192,12476065,170943641,6,67,5904,60,64310,1304,61170,517,1380,12,51,label-2
52,89,569,112,52,444,1432,576,74,4172078,10304691,4888855,312,4670093,11329069,5034681,116818191,6,29,2588,26,11546,1028,10186,517,1380,4,11,label-2
52,89,569,72,52,918,1432,611,9,2452100,58516176,11485138,5,2680972,58549903,11997831,171647059,6,71,6374,65,59705,2034,56317,517,1380,17,57,label-2
52,93,569,89,52,878,1432,641,49,4378877,58516048,15102105,5,5173011,58551837,16309502,170776235,6,40,3748,34,29867,1272,28091,517,1380,9,27,label-2
52,83,1059,99,52,1411,1432,150,12,51854,10240731,673990,4,47694,10255603,646949,131825487,6,2542,211195,2764,3900168,27291,3756432,517,1380,30,2748,label-2
52,95,569,106,52,877,1432,640,18,3721855,58482038,13983327,16,3056430,58579411,12765441,171206052,6,47,4487,57,50004,1895,47032,517,1380,15,45,label-2
40,77,569,50,40,1242,1432,453,16,1344663,58524271,8600067,2,1365668,58687694,8680618,172116963,6,129,10046,127,157841,1238,151253,517,1380,10,122,label-2
52,101,569,116,52,1124,1432,534,32,1477623,10240761,3511992,32,1342573,10246818,3377964,118209856,6,81,8206,89,100101,3114,95465,517,1380,9,74,label-2
52,96,569,120,52,667,1432,651,35,3313099,10279827,4685364,57,3863034,12293698,5000933,115958488,6,36,3486,31,20678,1458,19058,517,1380,5,16,label-2
52,76,569,58,52,1324,1432,357,19,1656362,58792658,9544555,16,1292221,58854581,8467423,170605379,6,104,7937,133,176157,1273,169233,517,1380,9,128,label-2
52,85,569,59,52,1057,1432,566,9,1552915,58505619,9064026,5,1594325,58637962,9206770,177032391,6,115,9881,112,118420,2525,112576,517,1380,22,103,label-2
52,76,569,27,52,1408,1432,168,10,299359,58768617,4087991,5,305053,58833485,4132000,173029713,6,579,44157,568,800272,1781,770728,517,1380,15,565,label-2
52,140,618,187,52,503,1432,610,14,3280815,10240744,4629935,18,3472252,10245565,4698471,118109360,6,37,5213,35,17612,3221,15784,517,1380,8,15,label-2
52,137,626,189,52,726,1432,644,64,2287832,10240816,4123063,14,2243710,11263180,4147256,118967294,6,53,7266,54,39250,4338,36434,517,147,10,31,label-2
52,85,569,74,52,1023,1432,607,14,3052729,58254698,12711225,4,2756685,58579298,12144920,170952854,6,57,4891,63,64505,1343,61209,517,1380,13,52,label-2
52,85,569,67,52,1242,1432,453,56,2339907,58767510,11267151,4,2474691,58830426,11588544,170813261,6,74,6294,70,86985,1286,83337,517,1380,9,66,label-2
52,96,569,47,52,761,1432,574,11,332974,58788150,4229781,4,408514,58855270,4688215,179806022,6,541,52351,441,335660,19099,312708,517,1380,195,408,label-2
52,90,569,117,52,443,1432,602,15,4446409,10240303,4976956,3,4621408,10259225,5000214,115606637,6,27,2440,26,11529,1028,10169,517,1380,4,11,label-2
52,92,569,100,52,907,1432,627,13,3323810,58807866,13139833,5,3261290,58853819,13036687,176161970,6,54,4989,55,49939,1881,47071,517,1380,14,45,label-2
40,78,569,50,40,1250,1432,445,13,1334630,58778640,8567491,2,1376908,58832007,8708649,172167345,6,130,10162,126,157614,1238,151078,517,1380,10,121,label-2
52,83,1059,101,52,1413,1432,139,11,42622,10271748,618779,13,37058,10270689,577575,104272661,6,2446,204772,2813,3976862,27260,3830578,517,1380,29,2801,label-2
52,108,569,111,52,611,1432,639,50,6816787,59175448,18413212,8,6309996,59172571,17854086,170419696,6,26,2810,28,17115,1450,15639,517,1380,11,18,label-2
52,88,569,80,40,1002,1432,544,22,821376,39914467,5642619,25,856948,39914466,5758752,40299358,6,50,4439,48,48138,1123,45670,517,1380,7,42,label-2
52,85,569,112,52,527,1432,624,28,3647183,10240365,4786336,6,3888235,10249000,4852754,116709868,6,33,2806,31,16366,1082,14746,517,1380,4,14,label-2
52,86,569,56,52,1066,1432,557,14,1389121,58802301,8609848,16,1615892,58857930,9278316,177807501,6,129,11127,111,118425,2479,112645,517,1380,21,104,label-2
52,78,569,26,52,1404,1432,186,13,296909,58670855,4073406,8,303585,58735265,4124042,172801420,6,583,45705,570,800288,1781,770640,517,1380,15,565,label-2
52,76,569,43,52,1401,1432,183,12,89890,10240399,917281,3,81551,10251782,875092,122789834,6,1367,104372,1506,2110203,7204,2031871,517,1380,20,1492,label-2
52,91,569,116,52,443,1432,602,14,4513628,10303291,4926374,4,4691715,10295012,4946040,117354328,6,27,2476,26,11529,1028,10169,517,1380,4,11,label-2
52,97,569,49,52,667,1432,566,8,350283,58497357,4344960,2,384941,58605101,4560593,178295076,6,510,49751,464,309883,18875,285747,517,1380,193,422,label-2
52,117,625,166,52,430,1432,583,19,3586721,10240589,4693644,8,4381359,12287575,5100129,118361797,6,34,4003,28,12043,2227,10567,517,1380,6,10,label-2
52,140,586,187,52,437,1432,566,74,3869780,10240363,4829326,6,4297317,11254394,4993842,116093424,6,31,4342,28,12239,2722,10775,517,1380,7,10,label-2
52,108,618,155,52,806,1432,651,12,2211027,10250320,4079433,9,2341060,10311815,4164268,119461041,6,55,5955,52,41923,2871,39211,517,1380,7,32,label-2
52,97,569,105,52,901,1432,627,50,3849543,58523848,14161632,4,3148659,58601146,12906387,173229437,6,46,4503,56,50482,1851,47562,517,1380,14,44,label-2
40,70,569,52,40,1252,1432,443,15,1421396,58813401,8810919,20,1386875,58961632,8720429,173411707,6,123,8630,126,157784,1238,151248,517,1380,10,120,label-2
52,82,1059,100,52,1410,1432,153,14,51482,10240424,674005,8,46478,10248860,641103,130509034,6,2536,209343,2808,3960702,27291,3814678,517,1380,30,2792,label-2
52,88,569,116,52,573,1432,637,24,3639724,10240770,4784231,28,4157339,10245221,4905300,116471183,6,33,2921,29,16643,1129,15127,517,1380,4,14,label-2
52,103,569,118,52,1120,1432,536,15,1308288,10240366,3325540,16,1336958,10245540,3359701,119054476,6,92,9496,90,100820,3580,96132,517,1380,10,75,label-2
52,84,569,47,52,1305,1432,355,14,1198201,58979539,8145743,15,1278214,59044944,8416961,171342747,6,144,12129,135,176230,1273,169202,517,1380,9,131,label-2
52,87,569,61,52,1127,1432,517,10,1679224,58948941,9461340,5,1727983,59026680,9607248,176318579,6,106,9302,103,116105,2386,110741,517,1380,20,96,label-2
52,77,569,26,52,1397,1432,200,15,299244,58949805,4083362,6,301220,59012355,4103169,172364621,6,577,44489,573,800631,1781,770827,517,1380,15,568,label-2
52,99,569,130,52,668,1432,651,140,3867769,10241000,4836430,154,3865712,11261871,4916807,116033091,6,31,3090,31,20708,1458,19088,517,1380,5,16,label-2
52,148,626,196,52,469,1432,579,18,3591153,10240796,4714056,21,3948633,10248403,4803237,118508057,6,34,5044,31,14551,3256,12919,517,1380,8,12,label-2
52,143,615,193,52,479,1432,580,188,3386173,10240795,4654951,7,3703347,10248177,4748886,118575611,6,36,5154,33,15821,3274,14097,517,1380,8,13,label-2
52,87,569,66,52,1039,1432,599,12,2528694,58920865,11673213,10,2817938,59020420,12303602,171951398,6,69,6031,62,64453,1343,61209,517,1380,13,52,label-2
52,131,618,182,52,516,1432,607,149,3368948,10240777,4664716,6,3466085,10248255,4700571,117913203,6,36,4729,35,18063,2813,16235,517,1380,7,14,label-2
52,108,626,153,52,796,1432,655,13,2200927,10240782,4080582,6,2284357,10267015,4138461,118850103,6,55,5960,53,42203,2848,39439,517,1380,7,33,label-2
52,88,569,109,52,430,1432,563,8,3859619,10240793,4854278,10,4450939,10244021,4961511,115788576,6,31,2728,27,11634,1028,10222,517,1380,4,12,label-2
52,89,569,69,52,1152,1432,533,29,2556747,58952433,11749842,2,2807222,59295684,12322263,171302075,6,68,6075,62,71480,1331,68236,517,1380,10,55,label-2
52,96,569,48,52,695,1432,573,11,341606,58950793,4314100,2,391242,59011622,4620586,177294007,6,520,50293,454,315752,18609,292136,517,1380,190,399,label-2
40,76,569,51,40,1250,1432,446,13,1380110,58966932,8689221,15,1390980,59018723,8729667,173895706,6,127,9718,126,157619,1238,151083,517,1380,10,121,label-2
52,90,1059,137,52,1303,1432,382,13,450969,10271195,2060240,14,445565,12287686,2090780,116801170,6,260,23516,263,342890,5608,329206,517,1380,8,246,label-2
52,98,731,107,40,996,1432,569,23,958987,39951952,6089699,7,1032803,39951947,6313540,40324056,6,43,4229,40,39869,1285,37817,679,1380,7,34,label-2
52,86,569,111,52,509,1432,609,10,3627328,10240797,4770916,7,4143486,12295216,5123332,116074518,6,33,2847,29,14776,1075,13260,517,1380,4,13,label-2
52,84,569,56,52,1070,1432,557,12,1412596,59049395,8659543,15,1630521,59136067,9299693,179399771,6,128,10871,111,118788,2479,113008,517,1380,21,102,label-2
52,79,569,25,52,1391,1432,220,12,299916,58965990,4077263,5,301407,59026090,4091323,173351851,6,579,45961,576,801229,1781,771269,517,1380,15,569,label-2
52,100,569,120,52,1096,1432,558,39,1351580,10240295,3342808,6,1321103,12289138,3386555,120290669,6,90,9080,92,100864,3580,96072,517,1144,10,75,label-2
52,92,569,83,40,1067,1432,555,22,899225,39975584,5891016,5,987117,39975563,6164667,40522262,6,46,4267,42,44846,1123,42690,517,1380,7,36,label-2
52,97,569,120,52,668,1432,651,30,3330784,10240216,4696049,33,3884000,10250160,4861274,116577458,6,36,3522,31,20708,1458,19088,517,1380,5,16,label-2
52,126,615,172,52,437,1432,574,13,3264695,10240407,4616409,16,3915535,11274065,5017154,117529024,6,37,4673,31,13558,2693,11938,517,1380,7,12,label-2
52,84,569,80,52,1125,1432,547,10,3521849,58965236,13654658,12,3080651,59011119,12836742,172570627,6,50,4217,57,64142,1265,61170,517,1380,11,50,label-2
52,111,611,160,52,409,1432,591,12,4181072,10271909,4891893,13,4333591,10262862,4920595,117070030,6,29,3221,28,11477,1669,10013,517,147,5,10,label-2
52,84,569,51,52,1293,1432,385,15,1368508,58922758,8680391,16,1486970,58992590,9051751,171063605,6,126,10645,116,150045,1285,144005,517,1380,9,112,label-2
52,97,569,105,52,901,1432,626,51,4066494,58906031,14497381,4,3178149,59005573,12940311,174859274,6,44,4302,56,50506,1818,47586,517,1380,14,45,label-2
52,97,569,129,52,980,1432,613,92,2811533,10240365,4499475,13,2021953,10245300,4020894,115272885,6,42,4104,58,56856,1912,53832,517,1380,6,43,label-2
52,91,569,121,52,481,1432,603,63,4454347,10240311,4965448,4,3859710,10240349,4866278,115813054,6,27,2482,31,14924,1070,13304,517,1380,4,13,label-2
52,83,569,50,52,1314,1432,372,13,1317987,58482232,8550706,2,1288022,58510669,8459676,171338410,6,131,10905,134,176178,1273,169202,517,1380,9,128,label-2
52,87,569,60,52,1108,1432,532,11,1593668,58634385,9279900,7,1653448,58658208,9452177,175303489,6,111,9687,107,118558,2479,112986,517,1380,21,102,label-2
52,63,569,36,52,1400,1432,200,14,506732,58780797,5291232,5,302379,58802565,4097017,173302593,6,343,21686,574,803792,1914,773936,517,1380,16,568,label-2
52,138,626,188,52,515,1432,609,13,3176743,10242785,4610333,4,3013260,10242449,4547180,117539806,6,38,5247,40,20630,3263,18542,517,1380,8,18,label-2
52,81,569,83,52,1055,1432,588,11,3726538,58641638,14070021,5,2856651,58637272,12426431,171420897,6,47,3820,61,64389,1304,61209,517,1380,12,52,label-2
52,90,569,117,52,443,1432,578,17,4433487,10240542,4984702,17,4609974,10240967,5008215,115270878,6,27,2440,26,11532,1028,10172,517,1380,4,10,label-2
52,80,569,59,52,1304,1432,383,8,1765521,58638812,9868943,2,1501972,58661717,9128993,171255553,6,98,7917,115,150060,1285,144072,517,1380,9,110,label-2
52,80,569,55,52,1248,1432,440,9,1415306,58848936,8825806,2,1268306,58911624,8372261,171252315,6,122,9806,136,169847,1842,162767,517,1380,15,130,label-2
52,73,1059,133,52,1411,1432,150,8,66498,10240338,781157,2,33243,10240599,553631,126015238,6,1896,138519,3791,5350088,35179,5152948,517,1380,38,3775,label-2
52,92,569,93,52,877,1432,638,13,3235220,58691057,12972525,4,3119267,58687792,12756327,174702132,6,55,5069,57,50040,1805,47068,517,1380,14,45,label-2
52,86,569,113,52,635,1432,652,69,3751642,10272000,4832603,408,4471277,10263226,4968394,116300916,6,32,2775,27,17145,1079,15733,517,1380,4,13,label-2
52,73,569,29,52,1400,1432,193,13,352060,58881930,4417607,10,303851,58943581,4110547,173566032,6,494,36069,572,801108,1781,771356,517,1380,15,566,label-2
52,85,569,47,52,1295,1432,391,13,1206510,58989736,8158984,15,1268579,59057750,8387728,171324467,6,143,12159,136,176253,1319,169161,517,1380,10,129,label-2
52,103,569,114,52,1098,1432,534,17,1213432,10240837,3233179,9,1292929,11262194,3359183,117702908,6,98,10100,92,101020,3580,96228,517,1380,10,77,label-2
52,86,569,71,52,1071,1432,582,11,2857049,58466618,12380022,13,2904589,58522025,12491334,171423111,6,61,5301,60,64298,1265,61170,517,1380,11,51,label-2
52,86,569,109,52,429,1432,570,14,3876300,10240444,4835532,5,4470528,11265085,5097341,116289092,6,31,2696,27,11607,1028,10195,517,1380,4,11,label-2
52,99,569,48,52,640,1432,564,7,366804,58957216,4409471,3,447250,59296549,4879864,181201583,6,495,49294,406,259998,17450,238854,517,1380,179,350,label-2
52,94,569,89,52,1034,1432,594,50,4273931,58846930,14910391,179,4746927,58909285,15727373,170957267,6,41,3877,37,38287,1377,36355,517,1380,11,31,label-2
40,77,569,49,40,1233,1432,463,10,1277547,58731845,8382514,11,1347582,59041324,8626756,171193361,6,135,10437,128,157870,1277,151230,517,1380,11,122,label-2
52,97,569,108,52,887,1432,631,42,4251349,58425075,14623519,3,3187864,58524093,12809431,178556836,6,43,4183,57,50574,1875,47590,517,1380,15,45,label-2
52,132,606,182,52,431,1432,575,13,3562035,10272272,4731208,14,3673318,10272585,4765161,117599817,6,34,4520,33,14225,2744,12489,517,1380,7,12,label-2
52,144,626,195,52,518,1432,597,19,3350311,10240283,4638453,3,3167781,14294651,4823357,117261015,6,36,5192,38,19712,3312,17728,517,1380,8,17,label-2
52,107,617,154,52,808,1432,645,26,2664873,10240916,4375989,4,2493635,13310201,4440284,117254438,6,45,4820,48,38809,2336,36305,517,1380,6,31,label-2
52,113,569,146,52,1085,1432,553,18,1621601,10240795,3625953,7,1262742,10267025,3272779,119998520,6,75,8535,96,104182,4479,99170,517,1380,12,79,label-2
52,86,569,112,52,561,1432,617,14,3527887,10272794,4757643,19,4012518,10288173,4883598,116420302,6,34,2931,30,16838,1107,15270,517,1380,4,15,label-2
52,87,569,102,40,997,1432,520,26,1314028,39993452,7062099,14,946528,39993027,6025219,40763288,6,32,2807,44,43879,1123,41619,517,1380,7,39,label-2
52,73,569,55,52,1325,1432,353,11,1465804,58368569,9007890,5,1298872,58413622,8499152,171499151,6,118,8653,133,176260,1273,169336,517,1380,9,128,label-2
52,80,569,31,52,1250,1432,426,8,204957,58630714,3336200,2,208013,58673366,3364975,177493162,6,867,69914,854,1068215,9150,1023799,517,1380,91,838,label-2
52,147,626,198,52,612,1432,632,19,2983730,10240821,4492684,16,3138832,10263143,4559160,119349224,6,41,6035,39,23876,3859,21840,517,1380,9,19,label-2
52,98,569,124,52,667,1432,646,16,3524607,10240353,4759232,19,3875167,10250188,4856841,116312676,6,34,3338,31,20707,1458,19087,517,1380,5,16,label-2
52,134,626,188,52,563,1432,628,20,3447173,10241007,4709159,6,3660899,10262671,4776594,117203901,6,35,4704,33,18603,2864,16879,517,1380,7,15,label-2
52,80,569,81,52,1089,1432,571,35,3565194,58821958,13763578,18,2949696,58887414,12602206,171129483,6,49,3941,59,64269,1265,61193,517,1380,11,52,label-2
52,90,569,117,52,460,1432,585,16,4462191,10240358,4957249,20,4830916,10247698,4992649,116016967,6,27,2440,25,11506,1028,10198,517,1380,4,10,label-2
52,142,615,195,52,423,1432,552,108,3397887,10241430,4639320,5,3600923,12288461,4844827,118926189,6,36,5143,34,14404,3239,12628,517,147,8,12,label-2
52,85,569,92,52,1109,1432,552,15,4176274,58648486,14784567,3,3423394,58701817,13496880,171227248,6,42,3610,51,56589,1418,53929,517,1380,10,46,label-2
52,75,1059,130,52,1408,1432,161,8,97439,10240299,963512,3,53929,10309163,719244,120434637,6,1237,93817,2233,3144993,22361,3028869,517,1380,25,2218,label-2
40,72,569,64,40,1228,1432,466,13,2122157,58376928,10706959,2,1353304,58417683,8615891,171894896,6,82,5925,128,157310,1269,150658,517,1380,11,122,label-2
52,107,569,124,52,892,1432,634,15,5208872,58608830,16308477,2,3124787,58601218,12894240,171892799,6,34,3660,56,49989,1884,47069,517,1380,14,45,label-2
52,95,569,96,52,1225,1432,453,71,663193,10240810,2423574,11,662751,11269073,2449411,122027669,6,185,17621,185,226753,4741,217125,517,147,13,169,label-2
52,88,569,110,52,494,1432,604,21,3651223,10271899,4777262,23,4027325,11273958,4944150,116839151,6,33,2926,30,14823,1074,13255,517,1380,4,13,label-2
52,76,569,43,52,1399,1432,188,14,88755,10240731,908056,11,82062,10246564,874138,123724607,6,1395,107356,1508,2110384,7204,2031960,517,1380,20,1493,label-2
52,90,569,81,40,1021,1432,546,9,885655,39477500,5691414,17,967930,39477489,5943637,41674935,6,48,4367,44,44949,1123,42689,517,1380,7,38,label-2
52,83,569,57,52,1070,1432,547,10,1414165,58977703,8676108,13,1619438,59029807,9275876,178186080,6,127,10623,111,118823,2479,113043,517,1380,21,104,label-2
52,76,569,26,52,1403,1432,190,14,309273,58499786,4140695,5,303766,58554909,4108155,173194577,6,561,43101,571,801264,1781,771564,517,1380,15,565,label-2
52,83,569,48,52,1323,1432,347,25,1231631,58839650,8236397,32,1305792,58897831,8485762,172428415,6,141,11705,133,176068,1273,169144,517,1380,9,129,label-2
52,99,569,128,52,669,1432,648,72,3737057,10240304,4828329,120,3859526,10250919,4864859,115848789,6,32,3178,31,20765,1458,19145,517,1380,5,16,label-2
52,127,611,176,52,493,1432,610,11,3262922,10240817,4640406,10,3354639,10261468,4677137,117465236,6,37,4710,36,17779,2742,15899,517,1380,7,15,label-2
52,143,626,192,52,428,1432,557,16,3350303,10271956,4664995,6,3447012,11100074,4765962,117260721,6,36,5176,35,14991,3272,13163,517,1380,8,14,label-2
52,82,569,83,52,1184,1432,498,12,3722498,58498559,13994181,4,3229931,58547463,13111345,171234931,6,47,3877,54,63986,1265,61170,517,1380,11,50,label-2
52,89,569,115,52,429,1432,570,19,4299586,10240512,4925565,9,4463018,10279727,4951206,116089013,6,28,2492,27,11607,1028,10195,517,1380,4,11,label-2
52,80,569,54,52,1293,1432,398,37,1452089,58573759,8923082,10,1489469,58901673,9061387,171346553,6,119,9564,116,150094,1332,144042,517,1380,10,110,label-2
52,81,569,53,52,1248,1432,442,9,1234579,58669998,8230509,4,1252413,59011164,8337712,171638053,6,140,11376,138,172329,1984,165121,517,1380,17,130,label-2
52,83,1059,98,52,1406,1432,172,11,43486,10240390,611197,3,40093,11274975,597992,133807313,6,3078,257513,3337,4692084,32221,4518552,517,1380,35,3299,label-2
40,71,569,53,40,1242,1432,453,25,1416139,58868995,8811531,10,1370789,58921828,8682376,172770744,6,123,8774,127,157851,1238,151251,517,1380,10,122,label-2
52,94,569,97,52,1246,1432,435,16,660146,10240245,2434603,3,667203,12290268,2498865,120146596,6,183,17325,181,225530,4749,216098,517,147,13,164,label-2
52,85,569,56,52,1088,1432,543,10,1406459,58588573,8625678,5,1653295,58652630,9343044,178620343,6,128,10923,109,118654,2479,112978,517,1380,21,103,label-2
52,75,569,26,52,1406,1432,179,13,297289,58592575,4063062,16,305028,58659746,4120679,173319729,6,584,44057,569,800226,1781,770630,517,1380,15,564,label-2
52,83,569,47,52,1324,1432,338,20,1206137,58583824,8153882,42,1297007,58642097,8459153,171271533,6,143,11985,133,176100,1273,169176,517,1380,9,129,label-2
52,95,569,125,52,649,1432,645,73,3536165,10240323,4741646,282,3764208,11086866,4876366,116742383,6,34,3246,32,20789,1458,19117,517,1380,5,16,label-2
52,128,590,176,52,424,1432,575,22,4166653,10272263,4896486,9,4484846,10282876,4947818,116666290,6,29,3725,27,11464,2209,10052,517,1380,6,9,label-2
52,88,569,68,52,1106,1432,560,16,2638159,58706750,11938244,22,3007499,58764397,12715357,171480453,6,66,5809,58,64194,1265,61170,517,1380,11,51,label-2
52,143,626,195,52,434,1432,588,17,4051159,10240731,4850687,5,4193671,10250528,4881393,117483638,6,30,4299,29,12612,2719,11096,517,147,7,11,label-2
52,86,569,107,52,416,1432,565,14,3718932,10240318,4826107,6,4267974,11267702,5099069,115286983,6,32,2760,28,11659,1028,10195,517,1380,4,11,label-2
52,84,569,61,52,1194,1432,495,15,1968651,58537534,10353984,23,2113863,58855975,10742506,171272681,6,88,7447,82,97960,1331,93676,517,1380,10,75,label-2
52,100,569,48,52,750,1432,584,9,323203,58573713,4143609,1,347776,58669828,4302634,182286922,6,565,56910,525,393884,22890,366564,517,1380,234,462,label-2
52,119,619,165,52,763,1432,642,15,2249351,10240287,4088498,6,2248148,12281597,4192525,119216024,6,54,6434,54,41250,3274,38434,517,147,8,33,label-2
52,95,583,105,52,886,1432,631,13,3594186,58746693,13503654,3,3208501,58745465,12819078,179709593,6,51,4855,57,50557,1899,47585,517,1380,14,45,label-2
40,74,569,52,40,1261,1432,431,14,1435881,58741469,8884359,3,1389132,58797003,8752217,172306201,6,121,9010,125,157702,1238,151206,517,1380,10,121,label-2
52,82,1059,101,52,1411,1432,151,12,55125,10240801,695820,6,49753,11232983,673509,130757803,6,2373,196145,2628,3708325,26305,3571661,517,1380,29,2611,label-2
52,101,569,113,52,1096,1432,555,92,1213991,10240414,3217592,11,1306765,11284865,3391820,118971165,6,99,10088,92,100886,3580,96094,517,1380,10,76,label-2
52,81,569,105,52,495,1432,608,73,3138201,10240436,4422638,16,4001952,13335831,5186688,116114554,6,38,3093,30,14879,1085,13311,517,1380,4,13,label-2
52,75,569,45,52,1398,1432,191,13,95535,10240522,940903,5,82262,10294272,874308,124100335,6,1300,97988,1509,2110418,7204,2031942,517,1380,20,1494,label-2
52,82,569,48,52,1344,1432,320,45,1223453,58901632,8225593,24,1317145,58954305,8536755,171283554,6,141,11645,131,176083,1273,169263,517,1380,9,128,label-2
52,85,569,59,52,1079,1432,544,11,1532319,58895847,9057003,2,1616155,58930938,9303487,176216937,6,116,9915,110,118740,2479,113012,517,1380,21,102,label-2
52,76,569,26,52,1398,1432,208,16,299513,58900790,4088751,13,300983,58953756,4103142,172220190,6,576,44333,573,801088,1781,771284,517,1380,15,567,label-2
52,86,569,82,40,997,1432,578,9,869473,39673390,5721877,4,950146,39673387,5975710,40912556,6,48,4159,44,43897,1123,41637,517,1380,7,37,label-2
52,122,626,171,52,422,1432,567,17,3793597,10240794,4781709,5,4352865,11265438,4966815,117601527,6,32,3914,28,11840,2230,10376,517,1380,6,10,label-2
52,142,626,189,52,460,1432,577,17,3355339,10241098,4678873,12,3667309,10253580,4781388,117436888,6,36,5114,33,15180,3222,13456,517,1380,8,14,label-2
52,84,569,72,52,1039,1432,599,17,2938768,58866593,12462763,5,2841492,58865889,12277119,173387570,6,60,5056,62,64441,1304,61209,517,1380,12,52,label-2
52,80,569,53,52,1304,1432,382,27,1402981,58869759,8785668,8,1513083,58955926,9130196,172566718,6,124,9925,115,149975,1285,143987,517,1380,9,111,label-2
52,80,569,50,52,1230,1432,435,16,1144450,58881305,7920642,3,1250915,58950908,8285845,173956444,6,153,12357,140,172285,1937,164997,517,1380,16,135,label-2
52,92,569,116,52,444,1432,577,15,4477752,10240851,4937534,5,4654388,11270153,5043183,116421669,6,27,2484,26,11558,1028,10198,517,1380,4,11,label-2
52,82,1059,99,52,1413,1432,141,9,40986,10240746,586277,5,36519,11268675,559165,137139820,6,3347,274907,3754,5305905,35179,5110689,517,1380,38,3739,label-2
40,73,569,53,40,1224,1432,473,11,1462402,58901547,8991714,2,1336396,58945205,8613754,171101112,6,118,8718,129,157921,1238,151229,517,1380,10,122,label-2
52,107,569,132,52,1085,1432,561,23,1421156,10240314,3453979,20,1281610,10273868,3310230,117955965,6,84,9038,93,100979,4046,96123,517,1380,11,76,label-2
52,86,569,108,52,494,1432,604,19,3519881,10240495,4738373,23,4003544,11258901,5010709,116156088,6,34,2926,30,14830,1070,13262,517,1380,4,13,label-2
52,84,569,59,52,1090,1432,552,8,1537924,58760308,9023125,2,1651329,58826324,9359647,178399255,6,117,9927,109,118818,2479,113130,517,1380,21,102,label-2
52,78,569,26,52,1407,1432,178,12,314269,58785263,4174450,7,306425,58860163,4127915,174105473,6,555,43381,569,800705,1781,771109,517,1380,15,564,label-2
52,102,569,134,52,649,1432,645,53,4121431,10240797,4929590,14,3720666,10258957,4845184,115400105,6,29,2974,32,20789,1458,19117,517,1380,5,16,label-2
52,76,569,43,52,1402,1432,180,10,90408,10240493,914238,4,82317,11258916,881342,123859019,6,1371,104844,1505,2110190,7204,2031922,517,1380,20,1490,label-2
52,86,569,89,40,991,1432,562,15,1021857,39704343,6194483,5,950319,39704409,5980220,40916465,6,41,3555,44,43610,1123,41350,517,1380,7,38,label-2
52,124,615,172,52,409,1432,561,36,3892226,10240333,4835521,90,4168046,10251700,4893717,116766871,6,31,3851,29,11878,2219,10362,517,1380,6,10,label-2
52,87,569,69,52,1039,1432,599,14,2725594,58613305,12095494,14,2814120,58608697,12292866,171712471,6,64,5576,62,64441,1304,61209,517,1380,12,52,label-2
52,76,569,55,52,1252,1432,441,52,1483592,58511827,9026006,4,1433317,58818767,8899751,170613162,6,116,8839,120,150293,1331,144033,517,1380,10,112,label-2
52,80,569,57,52,1259,1432,430,14,1505169,58513891,9084491,2,1280159,58585853,8404245,171589289,6,115,9310,135,170045,1842,163017,517,1380,15,129,label-2
52,82,1059,101,52,1411,1432,150,8,40986,10240635,599131,5,34629,11263599,561178,131237666,6,3203,263895,3789,5348999,35179,5151963,517,1380,38,3759,label-2
40,76,569,54,40,1261,1432,431,13,1527544,58509123,9155413,6,1379300,58563628,8721795,171086638,6,113,8666,125,157709,1238,151213,517,1380,10,121,label-2
52,90,569,92,52,917,1432,621,8,3054568,58473779,12775772,5,3167196,58567507,13009531,171055845,6,57,5138,55,50468,1846,47588,517,1380,15,45,label-2
52,84,569,86,52,1230,1432,466,14,847079,10240737,2739701,9,801666,10260912,2675982,121132366,6,144,12173,152,187080,2789,179168,517,1380,8,136,label-2
52,99,569,118,52,945,1432,613,18,2089027,10241134,3998059,21,2288271,11266997,4274746,119074999,6,58,5763,53,50098,2291,47334,517,1380,7,39,label-2
52,90,569,81,40,1020,1432,546,14,860213,39668681,5722143,16,939966,39668684,5976151,40474683,6,48,4327,44,44905,1123,42645,517,1380,7,38,label-2
52,77,569,45,52,1399,1432,187,13,92129,10240386,922502,18,82550,10267491,874343,124467613,6,1352,104418,1508,2110352,7582,2031916,517,1380,21,1491,label-2
52,89,569,118,52,570,1432,639,72,4012962,10240344,4847121,305,4009992,11283031,5004902,116375921,6,30,2687,30,17126,1095,15558,517,1380,4,13,label-2
52,83,569,48,52,1305,1432,377,16,1231811,58206452,8216532,9,1286382,58416967,8422842,172453663,6,141,11827,135,176303,1319,169263,517,1380,10,129,label-2
